Date,Ticker,Adjusted Close,Return,Volatility,RSI,SMA_100,Lower Band,Support,Year,Month,Day,Day_of_Week,Predicted_Action
2024-10-25,A,130.16,-0.0040553887,0.012136545,18.866226,136.65535,129.75082,130.16,2024,10,25,4,buy
2024-10-25,AAPL,231.4,0.0035997161,0.013669413,66.374374,221.79668,222.31091,216.32,2024,10,25,4,sell
2024-10-25,ABBV,187.82,-0.009649283,0.0085110385,38.896248,183.02953,185.91254,186.54,2024,10,25,4,short
2024-10-25,ABNB,134.6,0.013936016,0.014984474,59.373676,133.4199,124.72602,114.28,2024,10,25,4,hold
2024-10-25,ABT,114.24,-0.019735739,0.010345859,54.569176,109.39799,111.01516,110.2504,2024,10,25,4,short
2024-10-25,ACGL,105.28,-0.016442472,0.019703876,43.000553,104.558304,104.20985,102.55,2024,10,25,4,buy
2024-10-25,ACN,360.79,-0.009444588,0.010612564,56.278187,328.58002,348.07022,325.59473,2024,10,25,4,short
2024-10-25,ADBE,483.73,0.0017810506,0.015511738,47.658417,530.7765,479.76227,482.87,2024,10,25,4,buy
2024-10-25,ADI,230.17,0.002133427,0.015324352,54.86961,226.60037,222.35748,213.64,2024,10,25,4,hold
2024-10-25,ADM,56.57,0.0012389326,0.012255327,35.633636,60.02856,55.26227,55.69,2024,10,25,4,short
2024-10-25,ADP,287.96,-0.0050789528,0.007011852,65.36844,262.75156,278.82504,262.76196,2024,10,25,4,buy
2024-10-25,ADSK,286.05,0.0009798047,0.012379769,78.29223,253.8362,263.4989,248.23,2024,10,25,4,buy
2024-10-25,AEE,87.8,-0.013593968,0.0077403756,53.618443,79.53998,85.87157,81.00572,2024,10,25,4,short
2024-10-25,AEP,98.18,-0.012174254,0.009607859,50.585953,95.99129,96.67717,96.94,2024,10,25,4,short
2024-10-25,AES,16.965,-0.0008833563,0.017575182,25.95202,17.936937,15.829118,16.19,2024,10,25,4,hold
2024-10-25,AFL,109.71,-0.020533908,0.01174182,40.666103,101.359474,110.05574,104.26019,2024,10,25,4,short
2024-10-25,AIG,76.82,-0.011071068,0.016434968,65.142845,74.57856,71.80549,71.51657,2024,10,25,4,short
2024-10-25,AIZ,191.78,-0.015149166,0.015020952,62.658833,181.8344,187.25598,186.5833,2024,10,25,4,sell
2024-10-25,AJG,283.28,-0.014849554,0.011609944,45.26921,278.9026,281.90817,276.06,2024,10,25,4,sell
2024-10-25,AKAM,101.98,-0.00797665,0.010677696,53.316975,97.1179,99.04674,94.72,2024,10,25,4,short
2024-10-25,ALB,93.51,-0.017235937,0.028231319,31.696735,92.76249,90.021774,76.54809,2024,10,25,4,buy
2024-10-25,ALGN,219.23,0.012984001,0.020045249,33.065895,236.2436,201.52014,207.66,2024,10,25,4,sell
2024-10-25,ALL,188.15,-0.020052115,0.014723071,65.55454,176.6533,181.91234,177.96645,2024,10,25,4,sell
2024-10-25,ALLE,142.62,-0.018241957,0.012602139,42.869164,132.37056,141.56386,130.83168,2024,10,25,4,short
2024-10-25,AMAT,186.51,0.015020378,0.029245067,38.09439,207.66556,175.34021,174.75,2024,10,25,4,hold
2024-10-25,AMCR,11.0,-0.006323369,0.006409408,43.956055,10.53643,10.934755,10.333578,2024,10,25,4,sell
2024-10-25,AMD,156.22,0.018117823,0.022489315,29.822155,155.2471,148.32797,134.35,2024,10,25,4,sell
2024-10-25,AME,166.96,0.0022812155,0.008066944,51.89879,167.51352,165.79237,162.41806,2024,10,25,4,buy
2024-10-25,AMGN,317.06,0.0043396847,0.0097058965,49.469368,321.32376,313.47073,312.86,2024,10,25,4,hold
2024-10-25,AMP,504.35,0.00027769114,0.011860694,67.69257,445.54245,463.45877,430.17,2024,10,25,4,hold
2024-10-25,AMT,222.74,-0.0141193615,0.014082452,51.301422,216.2577,216.70099,217.9,2024,10,25,4,sell
2024-10-25,AMTM,29.66,-0.01034366,0.07756122,75.71966,6.6545,23.610085,0.0,2024,10,25,4,sell
2024-10-25,AMZN,187.82,0.0077261636,0.013516256,66.5879,183.9404,181.4452,170.8,2024,10,25,4,sell
2024-10-25,ANET,394.09,-0.004068779,0.018558418,50.87343,354.1178,379.62286,314.31,2024,10,25,4,short
2024-10-25,ANSS,322.93,0.00485421,0.012965224,60.926403,319.9716,310.3803,305.04,2024,10,25,4,hold
2024-10-25,AON,375.64,0.0526552,0.014436086,80.56255,326.476,341.1644,332.05,2024,10,25,4,hold
2024-10-25,AOS,76.86,-0.0062063066,0.017036373,17.426414,82.61757,73.68857,76.86,2024,10,25,4,buy
2024-10-25,APA,24.81,0.005674884,0.026453223,32.767693,27.419567,23.7093,22.919514,2024,10,25,4,hold
2024-10-25,APD,317.9,-0.013039466,0.023049245,56.806877,279.6088,282.3635,267.11258,2024,10,25,4,short
2024-10-25,APH,69.4,-0.0057306807,0.015791157,75.48635,65.355705,61.00082,59.693916,2024,10,25,4,sell
2024-10-25,APTV,69.31,0.014639146,0.016859239,45.24589,70.6901,68.40131,65.38,2024,10,25,4,hold
2024-10-25,ARE,113.01,-0.028706457,0.014511865,48.84016,117.03948,111.547386,113.01,2024,10,25,4,short
2024-10-25,ATO,140.75,-0.013457617,0.0075208917,62.632843,128.28252,136.35338,128.41045,2024,10,25,4,sell
2024-10-25,AVB,226.3,-0.015102063,0.009960401,66.69347,213.34024,215.61061,213.58563,2024,10,25,4,sell
2024-10-25,AVGO,172.96,0.009395977,0.02092355,47.352654,162.87036,166.79178,136.55087,2024,10,25,4,sell
2024-10-25,AVY,207.1,0.010441058,0.0116617745,39.380806,216.88148,206.16281,204.96,2024,10,25,4,hold
2024-10-25,AWK,137.64,-0.015450669,0.013436289,51.802532,139.1612,134.65182,136.18,2024,10,25,4,buy
2024-10-25,AXON,444.65,0.0034527867,0.009889137,72.59104,351.921,399.46075,354.62,2024,10,25,4,hold
2024-10-25,AXP,267.31,-0.009889671,0.014600882,42.806393,249.63197,263.49808,243.42392,2024,10,25,4,short
2024-10-25,AZO,3134.12,-0.0060667195,0.0124546345,58.34214,3050.636,3035.1904,3020.66,2024,10,25,4,short
2024-10-25,BA,155.03,-0.0010953491,0.018954616,48.62842,169.8907,147.0167,146.62,2024,10,25,4,hold
2024-10-25,BAC,41.88,-0.018053938,0.014330888,65.686295,40.02646,38.444534,38.43939,2024,10,25,4,sell
2024-10-25,BALL,64.03,-0.0091303615,0.012565082,50.490185,63.951622,63.211777,62.19445,2024,10,25,4,short
2024-10-25,BAX,35.96,-0.020963803,0.01883592,51.612896,36.010567,35.332508,35.08,2024,10,25,4,buy
2024-10-25,BBY,92.67,-0.015405913,0.014183273,30.298388,90.3447,91.63496,83.93597,2024,10,25,4,buy
2024-10-25,BDX,238.12,-0.0020953817,0.008556014,51.45886,234.80936,235.26204,231.27,2024,10,25,4,short
2024-10-25,BEN,20.38,0.007414712,0.014457975,62.42236,21.147917,19.278996,18.844751,2024,10,25,4,hold
2024-10-25,BG,89.77,-0.004877535,0.017323898,21.88843,100.90642,87.39982,88.85,2024,10,25,4,short
2024-10-25,BIIB,181.71,-0.011693647,0.012750975,46.998177,208.1519,180.12857,181.71,2024,10,25,4,sell
2024-10-25,BK,75.2,-0.016993504,0.010867104,66.44171,65.790596,69.40469,64.840065,2024,10,25,4,sell
2024-10-25,BKNG,4346.37,0.0017609155,0.010274887,74.48477,3925.0588,4088.948,3610.4873,2024,10,25,4,buy
