ticker,marketCap,trailingPE,forwardPE,priceToSalesTrailing12Months,priceToBook,revenueGrowth,earningsGrowth,grossMargins,profitMargins,returnOnAssets,returnOnEquity,currentRatio,debtToEquity,freeCashflow,ebitda
AOS,11485293568,20.348837,19.160583,2.9234338,6.0082397,0.066,0.019,0.38351002,0.14674,0.14533,0.30341998,1.698,8.637,388100000.0,828899968.0
ABBV,333590953984,63.37584,15.647059,6.0652905,49.20792,0.043,-0.325,0.6966,0.09707,0.07936,0.54262,0.807,1039.994,19637499904.0,26121000960.0
ACN,235483217920,32.884815,26.899357,3.6285987,8.32987,0.026,0.236,0.32609,0.111940004,0.11627,0.26674998,1.099,14.127,7641968128.0,11065912320.0
ADBE,217854984192,41.83432,24.082726,10.400295,15.141501,0.106,0.233,0.88657,0.25588,0.15969,0.35355,1.111,41.788,6618500096.0,8134000128.0
AMD,252434333696,185.67857,28.670956,10.8452635,4.463555,0.089,8.553,0.51418,0.05817,0.00801,0.024249999,2.819,3.971,2112999936.0,4046000128.0
AFL,64122974208,12.065332,16.104078,3.3217456,2.4677258,-0.007,0.144,0.4957,0.28340998,0.03229,0.23538,1.411,47.506,5469125120.0,6498500096.0
A,39889747968,28.922916,24.571682,6.139718,6.762299,-0.056,1.569,0.54394,0.21747999,0.07579,0.24658,1.781,52.787,879500032.0,1564000000.0
APD,73830481920,28.828125,24.876404,6.099475,4.889,-0.016,0.172,0.31665,0.21239,0.05104,0.16211,1.269,88.299,-2739350016.0,4200199936.0
ABNB,86294110208,18.564625,29.534632,8.214575,10.811346,0.106,-0.125,0.82588995,0.46111,0.04205,0.74175,1.406,28.418,3157874944.0,1636999936.0
AKAM,16163277824,26.46898,15.572263,4.115882,3.408096,0.047,0.024,0.59946,0.16012,0.04657,0.13906,1.321,97.073,571351232.0,1122247040.0
ARE,21304238080,148.5244,34.210674,7.0831475,1.1474036,0.074,-0.511,0.70876,0.0509,0.01345,0.01491,2.778,56.485,1435523200.0,1835033984.0
ALGN,16410953728,37.30051,21.125,4.1621943,4.367012,0.026,-0.123,0.70161,0.11338,0.06945,0.12088,1.182,3.435,371902880.0,823372992.0
ALLE,13361965056,24.381557,19.788387,3.6361067,9.374657,0.058,0.099,0.43765998,0.15078,0.10645001,0.43199003,1.659,179.401,420475008.0,864300032.0
LNT,15946604544,25.37551,19.07055,4.0248876,2.3481643,-0.02,-0.466,0.4422,0.15775,0.026349999,0.094390005,0.655,143.661,-1010625024.0,1608999936.0
GOOGL,2020802691072,23.412607,18.805525,6.1556535,6.6953454,0.136,0.314,0.57639,0.26702,0.15961,0.30871,2.079,9.549,43988500480.0,115478003712.0
GOOG,2020806230016,23.68006,18.993097,6.1556644,6.762127,0.136,0.314,0.57639,0.26702,0.15961,0.30871,2.079,9.549,43988500480.0,115478003712.0
AMZN,1983563431936,44.997623,32.5284,3.2822304,8.384649,0.101,0.938,0.48043,0.0735,0.06584,0.21933001,1.096,66.756,59191001088.0,104049000448.0
AMCR,16245621760,22.48,14.227847,1.191028,4.1831036,-0.038,0.443,0.19883,0.05352,0.0475,0.18400998,1.165,187.023,696750016.0,1856999936.0
AEE,23704020992,20.054176,18.093687,3.4121234,2.0541039,-0.042,0.075,0.52050996,0.16841999,0.029679999,0.10446999,0.673,152.297,-1356749952.0,3276999936.0
AEP,53579165696,20.138,16.865997,2.7443001,2.0494606,0.047,-0.366,0.44895,0.13488,0.02706,0.10514,0.655,169.394,-324337504.0,7350900224.0
AMT,105700655104,42.378277,34.236008,9.321292,27.41037,0.046,0.882,0.71450996,0.21954,0.04185,0.21584,0.597,454.641,4737874944.0,7082299904.0
AWK,27662753792,28.97143,24.949034,6.3461237,2.7248647,0.047,-0.011,0.59830004,0.21932,0.03259,0.09631,0.638,130.171,-1104875008.0,2321999872.0
AME,39222198272,29.512196,23.26923,5.7470646,4.2391334,0.054,0.036,0.35648,0.19514999,0.07916,0.15367,1.256,31.156,1254579072.0,2120557952.0
AMGN,172837257216,55.554405,15.584303,5.587291,29.164928,0.201,-0.463,0.63412,0.10118,0.04479,0.49268,1.264,1057.3,3012000000.0,11566000128.0
APH,81241407488,40.39521,32.90732,6.0660963,9.042895,0.182,0.108,0.33235002,0.15694,0.104449995,0.25456,2.017,60.101,1639250048.0,3269900032.0
ADI,113364246528,68.98187,30.282494,11.68651,3.2214966,-0.248,-0.546,0.57852,0.17068,0.0286,0.04658,1.687,23.07,2862019584.0,4361349120.0
ANSS,28610371584,57.844524,30.569561,12.30741,5.1206656,0.196,0.85,0.91949,0.21297,0.054180004,0.094289996,2.951,15.576,722611648.0,742475008.0
AON,77757423616,28.726324,20.62997,5.4921193,13.266494,0.184,-0.092,0.47535,0.18004,0.060310002,0.82436997,1.087,300.731,3142249984.0,4584000000.0
APA,9306809344,2.7229438,7.2507205,1.0447698,1.7157665,0.463,0.186,0.71385,0.32611,0.12717,0.7938,1.01,105.404,1476625024.0,5416999936.0
AAPL,3572963475456,35.714287,31.417112,9.265912,53.62848,0.049,0.111,0.45962003,0.26441,0.22612,1.60583,0.953,151.862,86158123008.0,131781001216.0
AMAT,153635930112,20.915825,19.232199,5.721156,8.154728,0.055,0.108,0.47408,0.27743,0.15205,0.4391,2.86,35.409,4395624960.0,8204000256.0
APTV,16860730368,5.415849,9.331599,0.84366924,1.6690314,-0.029,3.132,0.18479,0.18464,0.0543,0.34971002,1.494,64.07,1228999936.0,2976999936.0
ACGL,40813572096,7.632208,11.913282,2.637558,2.0490117,0.337,0.886,0.39918998,0.35195,0.048049998,0.30843002,0.618,13.196,4589250048.0,4682999808.0
ADM,26967209984,11.23506,10.561798,0.30379426,1.2172225,-0.117,-0.424,0.07441,0.0293,0.03415,0.1075,1.443,52.874,2144875008.0,3988000000.0
ANET,126289502208,52.07254,42.44984,20.008898,14.97653,0.159,0.342,0.64012,0.39008,0.16420999,0.34463,4.553,0.731,2007098880.0,2656448000.0
AJG,63374675968,56.49414,25.484581,6.1004643,5.4763527,0.134,0.187,0.43376,0.10977,0.02664,0.10361,1.041,74.262,2724699904.0,3278700032.0
AIZ,10229176320,13.17545,11.196145,0.88470846,2.0460596,0.071,0.234,0.11618,0.06899,0.02091,0.16811001,0.409,41.6,1402850048.0,1321100032.0
T,156669739008,12.557471,9.625551,1.282108,1.4877102,-0.004,-0.197,0.59605,0.10414,0.03958,0.11788,0.704,123.31,17859874816.0,42100998144.0
ATO,22238676992,21.129791,20.092566,5.430843,1.8253169,0.059,0.148,0.57717997,0.2509,0.03579,0.090179995,1.735,64.648,-1562511872.0,1991972992.0
ADSK,63141978112,59.916157,31.91612,10.877171,25.461891,0.119,0.262,0.91920996,0.18208,0.0889,0.57445997,0.636,105.214,1633500032.0,1396000000.0
ADP,119203463168,32.155117,26.84022,6.2076726,26.23082,0.065,0.072,0.47894,0.19539,0.059559997,0.9314,1.01,83.53,3699824896.0,5581100032.0
AVB,32303167488,38.433167,40.85252,11.292649,2.7475505,0.05,-0.311,0.64331,0.29413,0.02786,0.07143,1.211,72.611,1177270656.0,1763314944.0
AVY,17499217920,27.934446,20.580492,2.0358818,7.656239,0.069,0.758,0.28814,0.073359996,0.08376,0.29315,0.899,140.737,734687488.0,1394599936.0
AXON,33105321984,114.973755,73.870155,18.284393,17.16295,0.346,2.313,0.59812,0.16055,0.02819,0.17232001,2.879,37.944,273103360.0,196808992.0
BKR,36415287296,18.477158,13.893131,1.347068,2.3206885,0.13,0.45,0.20567,0.07369,0.0515,0.13033,1.266,37.498,1066875008.0,4104999936.0
BALL,20414746624,30.707762,19.324713,1.4778303,2.976454,-0.035,-0.073,0.19929,0.30403998,0.04459,0.12785,1.177,87.77,665124992.0,2064999936.0
BDX,70453985280,48.75,17.021648,3.5532572,2.7235854,0.023,0.235,0.44896,0.07126,0.032479998,0.05633,1.848,74.698,4431000064.0,5109000192.0
BBY,20643659776,16.60449,14.014577,0.48531064,6.652827,-0.031,0.072,0.22294001,0.02962,0.07219,0.4241,1.013,131.896,1411750016.0,2673999872.0
TECH,11301940224,67.84762,32.678898,9.750954,5.448149,0.016,-0.442,0.66472,0.14503999,0.05738,0.08332,3.874,20.279,214403504.0,310371008.0
BIIB,27699087360,23.979824,11.185883,2.863843,1.7437233,0.004,-0.017,0.76448995,0.11979,0.0519,0.07628,2.287,41.912,1265812480.0,2728999936.0
BWA,8017468928,10.570571,7.5862074,0.5590203,1.3158387,-0.019,0.541,0.18406999,0.04971,0.050240003,0.1183,1.617,61.639,1076249984.0,1871000064.0
BSX,129694523392,71.60162,32.142334,8.516287,6.359763,0.145,0.222,0.68691003,0.119969994,0.04808,0.093210004,1.612,53.064,1611500032.0,3948000000.0
AVGO,840190656512,145.07259,29.250406,17.94704,3.0376048,0.164,1.881,0.74713,0.108830005,0.077010006,0.12509,1.038,166.032,25984124928.0,22958000128.0
BR,25609723904,37.45299,23.458244,3.93584,11.792885,0.057,0.002,0.30659,0.10729,0.08180001,0.31667998,1.084,164.971,1124637440.0,1556000000.0
BRO,30348916736,30.659943,26.53117,6.8143153,5.0316877,0.115,0.343,0.48321998,0.2233,0.05361,0.17958,1.129,71.907,755562496.0,1497299968.0
BLDR,22705037312,17.177973,16.220465,1.3330171,5.274449,-0.016,-0.092,0.34102002,0.08249,0.116239995,0.32498002,1.825,101.118,1404968576.0,2561639936.0
BG,12684848128,10.176136,9.3378525,0.2272415,1.2681442,-0.12,-0.883,0.06892,0.023340002,0.05624,0.12297,2.032,53.864,1291750016.0,2724999936.0
BXP,15886721024,84.64152,47.97861,4.794331,2.428935,0.037,-0.232,0.61546004,0.05055,0.02503,0.031770002,0.833,194.739,1006291136.0,1872162944.0
CHRW,12915790848,39.613308,23.233124,0.7397964,8.549414,0.014,0.296,0.067,0.019019999,0.06342,0.22913,1.417,131.27,271804384.0,607635968.0
CDNS,70787940352,67.14805,37.412445,17.010195,16.613327,0.086,0.037,0.88509005,0.25361001,0.12145001,0.29442,1.432,31.652,895758656.0,1364988032.0
CPT,12875109376,33.07945,74.073616,8.261468,2.7015414,0.012,-0.528,0.62028,0.2548,0.02185,0.08158,0.159,72.203,730525248.0,900542976.0
KMX,11572822016,28.082705,19.761904,0.4181074,1.8776864,-0.002,0.135,0.11958,0.01508,0.01539,0.06853,2.254,314.637,894939136.0,926968000.0
CCL,28608241664,18.222223,12.541176,1.1686851,3.1422255,0.152,0.599,0.51963,0.063930005,0.04249,0.20120001,0.296,352.355,-506249984.0,5878000128.0
CARR,73619431424,21.688831,26.306454,3.1057808,5.3464894,0.116,10.087,0.2897,0.14272,0.04027,0.31099,1.084,98.182,2237874944.0,3043000064.0
CAT,190981914624,17.951685,17.419725,2.8776205,11.148979,-0.036,-0.034,0.32724,0.16584998,0.10467,0.62167,1.284,217.735,7383374848.0,16181999616.0
